OBJECTID,NAME,WARD,LENGTH_IN_METRES,NEW_UPGRADE,TYPE,USERS,GRADE,DEG_DIFF_RATING,GEN_DESC,PARKING_ACCESS,LINKS,SPEC_CONSID,CLASS_EA,CURB_SHOULDER,FACILITY_STYLE,TRAFFIC_CONTROL
1798,Berkindale Dr,5,121.644,,Low Auto Volume Sugg,,,,,,,,,,,
1799,Sherwood Park Rd,10,88.914,,Low Auto Volume Sugg,,,,,,,,,,,
1800,Collegiate Av,5,110.616,,Medium Auto Volume S,,,,,,,,,,,
1801,Hemlock Av,10,154.797,,Low Auto Volume Sugg,,,,,,,,,,,
1802,Hemlock Av,10,79.883,,Medium Auto Volume S,,,,,,,,,,,
1803,Ellington Av,10,164.637,,Medium Auto Volume S,,,,,,,,,,,
1804,Glenside Av,1,148.04,,Signed Bike Route,,,,,,,Greenway,,,,
1805,Glenside Av,1,88.43,,Signed Bike Route,,,,,,,Greenway,,,,
1806,Glenside Av,1,87.728,,Signed Bike Route,,,,,,,Greenway,,,,
1807,Green Meadow Rd,6,86.132,,Low Auto Volume Sugg,,,,,,,,,,,
1808,Bonaventure Dr,14,89.13,,Signed Bike Route,,,,,,,,,,,
1809,Bonaventure Dr,14,92.512,,Signed Bike Route,,,,,,,,,,,
1810,Bonaventure Dr,14,256.433,,Signed Bike Route,,,,,,,,,,,
1811,Bonaventure Dr,14,225.181,,Signed Bike Route,,,,,,,,,,,
1812,Bonaventure Dr,14,80.057,,Signed Bike Route,,,,,,,,,,,
1813,Columbia Dr,8,266.196,,Low Auto Volume Sugg,,,,,,,,,,,
1814,Marcus Av,8,86.115,,Low Auto Volume Sugg,,,,,,,,,,,
1815,West 15th St,8,90.816,,Low Auto Volume Sugg,,,,,,,,,,,
1816,West 15th St,8,133.836,,Low Auto Volume Sugg,,,,,,,,,,,
1817,Sanatorium Rd,8,127.495,,Low Auto Volume Sugg,,,,,,,,,,,
1818,Plains,,677.516,,Low Auto Volume Sugg,,,,,,,,,,,
1819,Hester St,7,272.885,,Medium Auto Volume S,,,,,,,,,,,
1820,Bobolink Rd,7,72.331,,Medium Auto Volume S,,,,,,,,,,,
1821,Kingfisher Dr,7,135.823,,Medium Auto Volume S,,,,,,,,,,,
1822,Bobolink Rd,7,63.16,,Low Auto Volume Sugg,,,,,,,,,,,
1823,Hummingbird Ln,7,291.395,,Low Auto Volume Sugg,,,,,,,,,,,
1824,Thresher Dr,7,80.649,,Low Auto Volume Sugg,,,,,,,,,,,
1825,Limeridge Rd E,7,42.031,,Signed Bike Route,,,,,,,,,,,
1826,King St W,5,150.087,,Bicycle Lane,,,,,,,,,,,
1827,Concession 6 E,15,563.974,,Medium Auto Volume S,,,,,,,,,,,
1828,Concession 6 E,15,130.241,,Medium Auto Volume S,,,,,,,,,,,
1829,Sydenham,13,1433.649,,Paved Shoulder,REC,FLAT,,,,,,,SHOUL,,
1830,Main St N,15,285.896,,Signed Bike Route,,,,,,,,,,,
1831,Ellington Av,10,119.818,,Low Auto Volume Sugg,,,,,,,,,,,
1832,Hemlock Av,10,111.744,,Medium Auto Volume S,,,,,,,,,,,
1833,Hemlock Av,10,155.265,,Low Auto Volume Sugg,,,,,,,,,,,
1834,Sherwood Park Rd,10,91.828,,Low Auto Volume Sugg,,,,,,,,,,,
1835,Macintosh Dr,10,315.506,,Low Auto Volume Sugg,,,,,,,,,,,
1836,Cresthaven Dr,10,55.487,,Low Auto Volume Sugg,,,,,,,,,,,
1837,Napoleon Dr,10,166.303,,Low Auto Volume Sugg,,,,,,,,,,,
1838,Napoleon Dr,10,130.95,,Low Auto Volume Sugg,,,,,,,,,,,
1839,Napoleon Dr,10,85.382,,Low Auto Volume Sugg,,,,,,,,,,,
1840,Urhp,6,152.514,,Paved Mulit-Use Recr,,,,,,,,,,,
1841,Urhp,6,181.487,,Paved Mulit-Use Recr,,,,,,,,,,,
1842,Beach Bv,5,1.169,,Low Auto Volume Sugg,,,,,,,,,,,
1843,West 5th St,8,51.407,,Bicycle Lane,,,,,,,,,,,
1844,Regional Rd No. 97,13,177.589,,High Auto Volume Sug,,,,,,,,,,,
1845,Concession 5 W,13,679.088,,Medium Auto Volume S,,,,,,,,,,,
1846,Concession 5 W,13,663.461,,Low Auto Volume Sugg,,,,,,,,,,,
1847,University Av,1,197.792,,Medium Auto Volume S,,,,,,,,,,,
1848,Private Rd,1,68.78,,Medium Auto Volume S,,,,,,,,,,,
1849,Marshboro Av,13,138.57,,Low Auto Volume Sugg,,,,,,,,,,,
1850,Hillcrest Av,13,202.847,,Low Auto Volume Sugg,,,,,,,,,,,
1851,Hillcrest Av,13,173.65,,Low Auto Volume Sugg,,,,,,,,,,,
1852,Oak Av,13,675.96,,Low Auto Volume Sugg,,,,,,,,,,,
1853,Millbank Pl,8,109.525,,Medium Auto Volume S,,,,,,,,,,,
1854,West 5th St,8,125.004,,Bicycle Lane,,,,,,,,,,,
1855,Herbert Pl,13,573.33,,Low Auto Volume Sugg,,,,,,,,,,,
1856,Glover Rd,11,1327.86,,Low Auto Volume Sugg,,,,,,,,,,,
1857,Greencedar Dr,14,244.388,,Signed Bike Route,,,,,,,,,,,
1858,Catharine St N,2,31.226,New,Signed Bike Route,Recreational ,FLAT,,,No Parking Access,,Greenway,No,Curbed,Signed Route,"Traffic Signal, Signage, Pavement Markings"
1859,Aldercrest Av,8,114.772,,Low Auto Volume Sugg,,,,,,,,,,,
1860,Aldercrest Av,8,242.067,,Low Auto Volume Sugg,,,,,,,,,,,
1861,King St W,5,3.486,,Bicycle Lane,,,,,,,,,,,
1862,,,127.174,,,,,,,,,,,,,
1863,,,8.416,,,,,,,,,,,,,
1864,,,41.013,,,,,,,,,,,,,
1865,,,116.128,,,,,,,,,,,,,
1866,,,61.021,,,,,,,,,,,,,
1867,King St W,1,25,,Bicycle Lane,,,,,,,,,,,
1868,King St W,1,14.667,,Bicycle Lane,,,,,,,,,,,
1869,,,436.624,,,,,,,,,,,,,
1870,York Bv,1,83.192,,Bicycle Lane,,,,,,,,,,,
1871,Woodward Av,4,114.665,,Bicycle Lane,,,,,,,,,,,
1872,Woodward Av,4,171.525,,Bicycle Lane,,,,,,,,,,,
1873,Woodward Av,4,312.997,,Bicycle Lane,,,,,,,,,,,
1874,Woodward Av,4,31.808,,Bicycle Lane,,,,,,,,,,,
1875,Woodward Av,4,342.621,,Bicycle Lane,,,,,,,,,,,
1876,Paramount Dr,9,82.152,,Bicycle Lane,,,,,,,,,,,
1877,Paramount Dr,9,131.248,,Bicycle Lane,,,,,,,,,,,
1878,Paramount Dr,9,103.463,,Bicycle Lane,,,,,,,,,,,
1879,Paramount Dr,9,182.809,,Bicycle Lane,,,,,,,,,,,
1880,Paramount Dr,9,83.915,,Bicycle Lane,,,,,,,,,,,
1881,Paramount Dr,9,187.897,,Bicycle Lane,,,,,,,,,,,
1882,Paramount Dr,9,87.996,,Bicycle Lane,,,,,,,,,,,
1883,Wilson St E,12,505.103,,Bicycle Lane,,,,,,,,,,,
1884,Wilson St E,12,436.634,,Bicycle Lane,,,,,,,,,,,
1885,Woodward Av,4,62.891,,Bicycle Lane,,,,,,,,,,,
1886,Woodward Av,4,60.368,,Bicycle Lane,,,,,,,,,,,
1887,Mountain Park Av,7,5.297,,Signed Bike Route,,,,,,,,,,,
1888,Mountain Park Av,7,39.299,,Signed Bike Route,,,,,,,Greenway,,,,
1889,Dickenson Rd E,11,583.758,,Medium Auto Volume S,,,,,,,,,,,
1890,Birchview Dr,6,48.874,,Medium Auto Volume S,,,,,,,,,,,
1891,Behan St,6,56.903,,Low Auto Volume Sugg,,,,,,,,,,,
1892,Birchcliffe Cr,6,211.333,,Low Auto Volume Sugg,,,,,,,,,,,
1893,Bay,2,107.762,,Bicycle Lane,,,,,,,Greenway,,,,
1894,Bay,2,115.015,,Bicycle Lane,,,,,,,Greenway,,,,
1895,Bay,2,106.379,,Bicycle Lane,,,,,,,Greenway,,,,
1896,Bay,2,105.909,,Bicycle Lane,,,,,,,,,,,
1897,Midway St,10,113.885,,Low Auto Volume Sugg,,,,,,,,,,,
1898,Midway St,10,70.965,,Low Auto Volume Sugg,,,,,,,,,,,
1899,President Dr,10,203.072,,Low Auto Volume Sugg,,,,,,,,,,,
1900,Maple Dr,10,58.444,,Low Auto Volume Sugg,,,,,,,,,,,
1901,Ninth Av,6,166.777,,Signed Bike Route,,,,,,,,,,,
1902,Ninth Av,6,83.436,,Signed Bike Route,,,,,,,,,,,
1903,Ninth Av,6,81.986,,Signed Bike Route,,,,,,,,,,,
1904,Ninth Av,6,82.528,,Signed Bike Route,,,,,,,,,,,
1905,North Service Rd,10,333.192,,Bicycle Lane,,,,,,,Greenway,,,,
1906,York Bv,1,9.333,,Bicycle Lane,,,,,,,,,,,
1907,York Bv,1,83.25,,Bicycle Lane,,,,,,,,,,,
1908,York Bv,1,41.321,,Bicycle Lane,,,,,,,,,,,
1909,York Bv,1,82.779,,Bicycle Lane,,,,,,,,,,,
1910,York Bv,1,42.405,,Bicycle Lane,,,,,,,,,,,
1911,Ferguson Av N,2,131.078,,Bicycle Lane,,,,,,,Greenway,,,,
1912,Rebecca St,2,214.947,,Signed Bike Route,,,,,,,,,,,
1913,Ninth Av,6,89.621,,Signed Bike Route,,,,,,,,,,,
1914,Limeridge Rd W,8,230.5663,,Signed Bike Route,,,,,,,,,,,
1915,Power Line Rd W,12,1852.641,,Low Auto Volume Sugg,,,,,,,,,,,
1916,Power Line Rd W,12,2390.747,,Low Auto Volume Sugg,,,,,,,,,,,
1917,Power Line Rd W,12,303.245,,Low Auto Volume Sugg,,,,,,,,,,,
1918,Orkney Rd,12,1208.693,,Low Auto Volume Sugg,,,,,,,,,,,
1919,John,2,116.083,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
1920,East 24th St,7,236.661,,Signed Bike Route,,,,,,,,,,,
1921,Concession 2 W,12,44.732,,Low Auto Volume Sugg,,,,,,,,,,,
1922,East 24th St,7,233.58,,Signed Bike Route,,,,,,,,,,,
1923,Rockhaven Ln,15,82.819,,Low Auto Volume Sugg,,,,,,,,,,,
1924,Greencedar Dr,14,126.885,,Signed Bike Route,,,,,,,,,,,
1925,Amberly Bv,12,88.97,,Medium Auto Volume S,,,,,,,,,,,
1926,Amberly Bv,12,42.089,,Medium Auto Volume S,,,,,,,,,,,
1927,Amberly Bv,12,87.938,,Medium Auto Volume S,,,,,,,,,,,
1928,Amberly Bv,12,59.916,,Medium Auto Volume S,,,,,,,,,,,
1929,King St W,1,75.261,,Signed Bike Route,,,,,,,,,,,
1930,King St W,1,121.828,,Signed Bike Route,,,,,,,,,,,
1931,King St W,1,236.424,,Signed Bike Route,,,,,,,,,,,
1932,King St W,1,148.843,,Bicycle Lane,,,,,,,,,,,
1933,King St W,1,88.005,,Bicycle Lane,,,,,,,,,,,
1934,King St W,1,90.034,,Bicycle Lane,,,,,,,,,,,
1935,Melvin,4,26.802,,Signed Bike Route,,,,,,,,,,,
1936,Melvin,4,54.009,,Signed Bike Route,,,,,,,,,,,
1937,Melvin,4,29.995,,Signed Bike Route,,,,,,,,,,,
1938,Melvin,4,84.239,,Signed Bike Route,,,,,,,,,,,
1939,Melvin,4,84.503,,Signed Bike Route,,,,,,,,,,,
1940,,,539.704,,,,,,,,,,,,,
1941,Longyear Dr,15,221.98,,Low Auto Volume Sugg,,,,,,,,,,,
1942,Glancaster Rd,12,509.76,,Medium Auto Volume S,,,,,,,,,,,
1943,Wilson Anc,12,88.503,,Bicycle Lane,,,,,,,,,,,
