X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL,LATITUDE,LONGITUDE
591199.5746,4790521.833,66,Allegra,"255 York Blvd, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.261989,-79.87632
591573.2669,4790260.6199,67,First Ontario Centre,"101 York Boulevard, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.259592,-79.87176
591536.9567,4790287.2337,68,Salvation Army,"101 York Boulevard, Hamilton",ROW,1,Hammer Hoop,10,No,Yes,2,Yes,43.25983601,-79.87220286
585159.61,4790051.5759,69,Dundana Elementary,23 Dundana Avenue,School,1,Multi-Ring,18,No,Yes,13,Yes,43.25846197,-79.9507991
592021.8726,4789925.1334,71,Downtown Bike Hounds Corral,21 John Street North,ROW,1,Bike Corral,10,No,Yes,2,Yes,43.256517,-79.86629
591950.0502,4789659.1994,74,Mayday Payday Loans/Hammer Town Subs,61 John St S,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25413158,-79.86721907
593136.2679,4790417.9627,76,1-876 Bar and Grill,"306 Barton Street East, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.260817,-79.85248
593559.7758,4790259.2862,77,,"414 Barton St E, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.259336,-79.84729
591529.102,4790525.6042,78,Tim Hortons,133 Bay Street North,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.261983,-79.87226
592071.5159,4790356.8229,79,Giant Tiger,33 Cannon St E,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.2603974,-79.86560636
593235.7455,4790386.0062,80,Tiger Group Studio Gallery,"335 Barton E, Hamilton",ROW,1,Advertising Rack,4,No,Yes,3,Yes,43.260517,-79.85126
593271.8303,4790362.8474,81,Corner of Emerald and Barton,256 Emerald Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.26030404,-79.85081942
594034.1828,4790119.8905,82,Hamilton Public Library  ,"571 Barton St E, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.258022,-79.84147
594059.645,4790108.1389,83,Hamilton Public Library - Barton Branch,"571 Barton St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25791303,-79.84115837
594060.1891,4790110.0369,84,Hamilton Public Library - Barton Branch,"571 Barton St E, Hamilton",Municipal,1,Multi-Ring,8,No,Yes,3,Yes,43.25793004,-79.84115134
593986.114,4790132.2204,85,Hamilton School of Careers,"553 Barton St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.258139,-79.84206
594486.6468,4790026.4837,86,Playhouse,177 Sherman Avenue North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25712449,-79.83591265
594694.7537,4789892.8254,87,Municipal Car Park 47,"735 Barton Street East, Hamilton",ROW,1,Advertising Rack,4,No,Yes,3,Yes,43.25589507,-79.83337224
594811.905,4789851.5341,88,Ranalli Travel Agency,"765 Barton St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.2555086,-79.83193636
594827.5298,4789847.2628,89,769 Barton Street,"769 Barton St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25546819,-79.83174464
592490.97,4790233.8581,90,Good Shepard Venture Centre ,"155 Cannon Street East, Hamilton",ROW,1,Advertising Rack,4,No,,2,Yes,43.259239,-79.86046
593358.0161,4789931.8974,91,Store,400 Cannon Street E,ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.25641358,-79.84983079
595829.7646,4789549.9911,92,Flea Market,"1015 Barton Street East, Hamilton",ROW,1,Advertising Rack,4,No,Yes,3,Yes,43.25266516,-79.81945157
596166.6996,4789402.3362,93,Centre on Barton,"1111 Barton Street East, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,4,Yes,43.25129295,-79.81532743
596087.1505,4789386.2195,94,Out of the Basement Collectibles and Antiques,335 Ottawa Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.251158,-79.81631
596076.3737,4789354.5675,95,Fabric Fabric,317 Ottawa Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.25087442,-79.81644825
596014.7862,4789089.5909,96,212-214 Ottawa Street Storefront,212 Ottawa Street North,ROW,1,Hammer Hoop,2,No,Yes,4,Yes,43.24849674,-79.81725295
595986.7795,4789033.8375,97,Puravida,193 Ottawa Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.24799837,-79.81760758
595962.2298,4788988.5454,98,The Cannon,179 Ottawa Street North,ROW,1,Hammer Hoop,6,No,Yes,3,Yes,43.24759374,-79.81791781
595937.7568,4788856.5631,99,Antique Detective,137 Ottawa Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.24640865,-79.81824219
580754.7767,4785204.6255,102,Ancaster Aquatic Centre,"47 Meadowbrook Drive, Ancaster",,1,Multi-Ring,14,No,Yes,12,Yes,43.215308,-80.00577
580742.6076,4785203.2591,103,Ancaster Aquatic Centre,"47 Meadowbrook Drive, Ancaster",Municipal,1,Multi-Ring,8,No,Yes,12,Yes,43.215297,-80.00592
580558.3251,4785467.0828,104,Morgan Firestone Arena,"385 Jerseyville Road West, Ancaster",,1,Multi-Ring,8,No,Yes,12,Yes,43.217692,-80.00815
594675.3361,4790109.7394,105,Lucy Day Park,33 Clinton Street,Park,1,Hammer Hoop,10,No,No,3,Yes,43.25785035,-79.83357414
595588.4664,4789254.5732,106,Belview Park,205 Belmont Avenue,Park,1,Hammer Hoop,8,No,Yes,3,Yes,43.25003621,-79.82247481
595562.667,4789258.4074,107,Belview Park,205 Belmont Avenue,Park,1,Hammer Hoop,16,No,Yes,3,Yes,43.250074,-79.82279189
595095.5288,4785983.2087,108,Huntington Park Recreation Centre,87 Brentwood Drive,Municipal,1,Multi-Ring,8,No,Yes,6,Yes,43.220647,-79.82911
595331.0973,4783782.656,109,Trenholme Park Nadir Giuseppe (Joe) Perin Bocce Court,135 Trenholme Crescent,Park,1,Multi-Ring,8,No,Yes,6,Yes,43.200806,-79.82659
591909.0615,4789021.6918,110,Woolverton Park,90 Charlton Avenue East,Park,1,Hammer Hoop,10,No,Yes,2,Yes,43.24839714,-79.86783026
592571.3398,4787792.8554,111,Inch Park Arena,400 Queensdale Avenue East,Municipal,5,Hammer Hoop,10,No,Yes,7,Yes,43.237253,-79.85988
590548.5854,4790700.7182,112,Victoria Park Outdoor Pool,"500 King Street West, Hamilton",Municipal,1,Hammer Hoop,12,No,Yes,1,Yes,43.263678,-79.88431
590555.2879,4790624.2773,113,Victoria Park Community Garden,,Municipal,1,Hammer Hoop,6,No,Yes,1,Yes,43.262989,-79.88424
588179.4127,4790079.3112,114,Dalewood Recreation Centre,"1150 Main Street West, Hamilton",Municipal,1,Multi-Ring,12,No,Yes,1,Yes,43.25836441,-79.91359592
589544.0704,4790772.4662,115,Coronation Arena and Pool,81 Macklin Street North,Municipal,1,Multi-Ring,14,No,Yes,1,Yes,43.26444399,-79.89667315
591334.924,4790003.3893,116,Villiage Atrium/Hamilton Public Library Workplace Child Centre,10 George Street,Municipal,1,Hammer Hoop,2,No,Yes,2,Yes,43.25730509,-79.87473863
591306.8737,4790013.6339,117,Villiage Atrium/Hamilton Public Library Workplace Child Centre,10 George Street,Municipal,1,Hammer Hoop,2,No,Yes,2,Yes,43.25740072,-79.87508245
592438.9411,4791490.1899,118,Bennetto Community Centre,450 Hughson Street North,Municipal,1,Multi-Ring,8,No,Yes,2,Yes,43.270556,-79.86089
591609.4583,4791307.6575,119,Bayfront Park,200 Harbour Front Drive,Park,1,Hammer Hoop,10,No,Yes,2,Yes,43.269014,-79.87114
592417.6191,4790016.595,120,Beasley Community Centre,"145 Wilson Street, Hamilton",Municipal,2,Multi-Ring,14,No,Yes,2,Yes,43.257292,-79.8614
592589.0898,4789170.7617,121,Central Memorial Recreation Centre,"93 West Avenue South, Hamilton",Municipal,1,Multi-Ring,14,No,No,2,Yes,43.249656,-79.85943
592597.7756,4789188.7633,122,Central Memorial Recreation Centre,"93 West Avenue South, Hamilton",Municipal,1,Multi-Ring,8,No,Yes,2,Yes,43.249817,-79.85932
592542.4951,4789074.7126,123,Carter Park,32 Stinson Street,Park,1,Multi-Ring,16,No,Yes,2,Yes,43.248797,-79.86002
587939.5143,4789522.0085,124,Stroud Park,145 Stroud Road,Park,1,Multi-Ring,8,No,No,1,Yes,43.253375,-79.91664
